Age,Gender,Occupation,Income,WebsiteVisits,PreviousPurchases,TotalSpent,MarketingInteraction,Purchased
38,1,Student,7458077,16,0,3412447,1,1
43,1,Student,3466958,7,2,4840965,0,0
29,1,Office,12153699,22,1,3229168,1,1
34,1,Office,9168110,25,2,6676307,0,0
47,1,Business,30296699,7,7,4292409,0,1
25,1,Business,32917315,5,7,5275278,1,1
21,0,Student,3485361,17,4,7624889,0,1
26,0,Office,14869516,17,6,1763457,1,1
50,0,Office,19704330,13,2,6424318,1,1
30,0,Manager,43001890,2,2,1943273,1,0
36,0,Business,23003460,16,0,4131838,1,1
37,1,Manager,44047185,8,3,4157870,1,1
39,1,Manager,56338644,3,5,8886945,0,1
25,0,Manager,28417759,21,6,9353269,0,1
28,1,Office,17730513,23,2,1728972,0,0
31,0,Business,36673884,10,7,8618655,0,1
20,1,Business,19159183,3,2,9515534,1,1
27,0,Student,4699485,2,4,2662197,0,0
35,0,Manager,42982474,16,6,7229673,0,1
38,0,Office,19627426,10,4,5443267,1,1
36,0,Manager,30889337,5,0,6966805,0,0
39,1,Student,3047977,10,1,7758088,1,0
38,0,Student,6401219,16,8,8514435,0,1
26,0,Office,10028423,15,6,6906397,1,1
48,0,Business,31239252,10,5,9759467,0,1
29,1,Office,9567708,23,6,5712476,1,1
33,0,Manager,41083795,16,8,7983196,0,1
32,1,Office,17879584,7,2,2857904,0,0
46,0,Office,11591293,1,8,2049750,1,1
40,1,Student,5757734,22,0,6834444,1,1
43,0,Office,9025446,7,6,8128498,1,1
47,1,Student,7378842,2,8,479773,0,0
33,0,Office,10362538,7,5,8682694,0,0
27,1,Office,11619507,12,7,9545749,1,1
44,0,Office,19413776,4,7,1239178,1,1
21,0,Business,26346434,1,6,4159385,0,1
48,1,Student,5305905,11,5,8744767,0,1
27,0,Business,19710572,17,3,9739844,0,1
25,1,Business,18864918,25,6,8461177,1,1
36,1,Student,6795777,1,7,8935920,1,1
44,0,Business,25557223,12,5,7607697,0,1
30,0,Office,11837768,20,2,4002261,0,0
39,1,Manager,26182998,15,3,1292330,1,1
35,1,Office,16294204,20,6,5902063,0,1
33,1,Student,3831486,2,6,4856951,1,1
26,0,Office,15717602,1,4,9262721,0,1
26,0,Student,7422848,6,5,7173315,1,1
34,0,Business,24182091,18,1,6723130,1,1
24,0,Business,21846869,8,6,4309518,1,1
47,1,Manager,34371659,23,3,2748326,1,1
24,0,Manager,30899110,10,6,1224137,1,1
48,1,Student,4472820,21,6,7842061,1,1
39,0,Business,21301506,1,8,7029660,0,1
48,1,Office,19637528,12,5,2136176,0,1
40,1,Office,9617930,4,4,7913508,0,0
22,0,Business,28720118,17,7,8134958,1,1
41,1,Business,35503401,4,2,6330799,0,0
48,0,Manager,47423415,8,1,1691308,0,0
46,0,Business,36335355,8,1,5799785,0,0
48,1,Manager,40213666,18,3,454944,0,1
48,0,Office,11620649,22,6,7961943,0,1
27,0,Office,10516930,18,6,7104769,0,1
22,1,Manager,29703289,4,2,1290142,1,0
31,0,Student,3229994,25,3,6028631,1,1
28,0,Business,30491667,16,5,1423874,0,1
22,0,Manager,41773177,19,0,5137377,0,1
24,1,Office,12335041,7,1,6274007,0,0
47,0,Business,34333690,14,0,5562949,0,1
30,0,Office,16929364,18,0,6424652,1,1
47,0,Office,15986194,7,2,3248105,0,0
37,1,Student,5188543,20,3,7826306,1,1
33,1,Manager,56646908,20,3,6785347,0,1
48,1,Manager,57114606,9,8,2575741,1,1
22,1,Office,17099796,12,0,8882095,1,1
25,1,Office,17944424,4,1,7799049,1,1
29,1,Business,22767500,23,8,1064449,1,1
21,0,Student,4063912,17,5,8987724,1,1
28,1,Student,3181219,3,8,8452494,1,1
35,0,Business,27407965,3,7,7677428,0,1
22,0,Manager,33573560,24,7,3823816,1,1
28,0,Manager,36857563,18,0,4634303,0,1
42,1,Student,6893383,5,6,4514266,0,0
30,0,Office,19190707,10,6,7012771,1,1
33,1,Student,6248842,23,4,410233,0,0
32,0,Student,4719827,20,6,3386730,0,1
32,0,Business,31258947,10,0,1240352,0,0
44,1,Manager,25680455,5,1,7113282,0,0
40,0,Manager,25184750,13,6,5296846,0,1
45,1,Manager,59418675,17,8,4704639,0,1
40,0,Office,16639958,7,7,6951576,0,1
42,0,Business,30977366,1,3,8304275,1,1
28,1,Business,22811117,13,1,7232779,0,1
27,0,Office,15901874,24,8,5023163,0,1
33,1,Manager,55273826,23,4,808231,1,1
28,1,Manager,37018822,15,2,7612361,1,1
36,1,Manager,25461905,23,1,7187550,0,1
43,1,Business,23812447,17,1,3078960,0,1
21,0,Business,36299520,5,3,5047314,0,1
36,1,Student,4351112,5,4,2269396,0,0
29,1,Office,18828205,20,1,430626,1,1
40,0,Business,18376197,1,3,8946541,1,1
43,1,Student,5020202,10,1,1845183,0,0
23,1,Student,6178072,18,5,1430994,1,1
25,1,Business,35178663,14,0,8181957,0,1
31,1,Student,6348116,6,2,7354896,0,0
25,0,Office,16541278,17,5,4196114,1,1
48,1,Student,4091442,5,6,8709373,0,0
28,1,Manager,48182808,17,8,4133320,1,1
26,1,Student,4201854,19,6,2506211,1,1
34,0,Office,9032981,7,7,2486001,1,1
30,0,Business,22595194,14,0,3134831,1,1
26,0,Student,7466727,4,3,4125369,0,0
34,1,Student,4143804,21,5,7825495,0,1
25,1,Office,19867445,9,7,8915162,0,1
26,0,Business,27448990,21,7,7606132,0,1
29,1,Business,34384615,6,3,2186906,1,1
41,0,Office,9588376,3,4,7089886,0,0
24,0,Student,7821427,16,5,3648425,0,1
32,0,Manager,29873243,3,3,5343363,0,1
34,0,Office,17982761,12,6,6037308,0,1
39,1,Manager,49244659,17,4,2649214,1,1
42,0,Office,14302623,13,8,7200705,0,1
48,1,Business,35161983,19,4,8751199,0,1
31,0,Student,7454059,5,0,5167373,1,0
31,0,Office,10945723,1,6,2632541,1,1
42,0,Office,17465234,8,8,766789,0,0
42,1,Business,22932493,14,5,4722427,1,1
40,0,Office,19190162,17,7,1113304,0,1
20,0,Manager,26551201,6,2,4912338,1,1
44,1,Business,37948249,13,7,6494346,1,1
48,0,Office,19366501,18,4,5672195,1,1
31,0,Manager,46705207,9,2,3950658,1,1
41,1,Manager,34928063,6,1,2551386,0,0
41,1,Business,37697850,4,7,2323708,0,1
50,1,Manager,36280083,23,2,683118,0,0
25,1,Manager,50244727,3,0,2773815,1,1
47,1,Manager,53596111,14,8,4683801,1,1
22,1,Manager,38635904,11,8,8101473,1,1
29,1,Office,14586106,13,6,1696210,0,0
22,0,Business,38125645,7,6,8562540,0,1
38,1,Business,16705054,25,6,2736169,1,1
44,1,Manager,37672327,23,0,2812837,0,1
43,1,Office,15286448,15,1,4885886,0,1
31,0,Business,34491701,4,7,9304280,1,1
50,1,Business,34661387,8,1,7734309,0,0
41,1,Business,33612970,3,1,3488506,0,0
36,0,Student,5087996,18,7,9069860,1,1
31,1,Student,6554958,4,6,6022294,1,1
42,0,Business,22260692,20,4,359889,0,1
21,0,Office,15841025,22,0,1305721,0,0
48,0,Student,5417530,2,1,5355327,0,0
39,1,Student,4283857,20,4,6921515,1,1
44,0,Office,16129855,18,8,4900851,0,1
27,0,Business,28066972,14,8,4216265,0,1
32,1,Office,10618887,3,1,569187,1,0
38,0,Office,8881611,6,5,1881332,0,0
36,0,Office,7375687,21,6,8511422,1,1
43,0,Office,19718507,8,5,1149647,0,0
20,1,Business,25243910,9,4,1086546,0,0
24,0,Manager,37275658,15,4,9229108,1,1
37,0,Manager,53768044,19,1,4474289,1,1
31,0,Office,16052573,14,3,7244665,0,1
30,0,Student,5125401,9,8,3691457,0,0
31,1,Manager,50828707,11,3,9389295,0,1
44,0,Manager,27096780,2,0,6971963,1,1
32,0,Manager,45263273,21,5,3155469,1,1
42,0,Business,18066487,25,7,1235796,1,1
50,0,Manager,27652310,24,8,5924290,0,1
44,1,Office,9906749,24,5,8165518,1,1
24,0,Business,20391812,14,1,3793679,0,1
44,0,Business,27464596,23,2,1476614,1,1
29,1,Student,4714037,6,2,590822,1,0
23,0,Business,31477429,6,3,5779470,1,1
36,1,Student,6310752,7,1,3338166,0,0
34,1,Student,3596287,21,8,4056837,1,1
27,1,Office,12617132,5,4,1905053,1,0
35,0,Manager,25080871,25,2,8162536,0,1
40,1,Business,15251266,2,0,6380892,0,0
44,0,Student,7229983,23,0,8612641,0,0
21,0,Manager,56393777,22,5,4402477,1,1
43,1,Student,5446795,12,4,533164,0,0
25,1,Manager,32239613,22,5,4508600,1,1
41,0,Manager,28305710,12,1,9720434,1,1
43,1,Manager,55789045,18,5,7579845,0,1
40,0,Office,15703477,1,6,6393092,0,1
34,0,Student,4101146,9,6,6654748,0,0
44,1,Office,18377202,14,0,1192137,1,1
46,1,Student,7565234,4,4,3088201,0,0
46,1,Office,19906134,6,7,2883190,1,1
44,1,Manager,58644131,13,3,902120,1,1
48,0,Business,33879365,12,6,5094490,1,1
37,1,Office,17909648,22,6,5176631,1,1
40,1,Business,19791596,17,1,375796,0,0
27,1,Student,5811382,17,0,3962630,1,1
28,1,Business,28548981,6,4,5928250,1,1
44,1,Office,18181372,4,5,5931657,1,1
35,1,Student,6914772,13,7,9889144,1,1
48,0,Business,32160542,10,3,719612,1,1
37,0,Student,6783978,4,7,3937347,0,0
40,1,Office,13023887,23,6,6571929,1,1
32,1,Manager,50732644,20,8,6948416,1,1
35,1,Manager,44870524,16,0,7178305,1,1
20,1,Office,8783753,8,3,8075921,1,1
36,1,Business,17417549,5,4,7627838,0,1
25,1,Office,7560613,5,7,3056320,1,1
37,1,Office,8709216,8,2,5267829,0,0
26,1,Manager,28165338,25,6,5716705,1,1
20,0,Business,30059009,24,0,1371682,1,1
27,0,Manager,28299957,10,0,8480074,1,1
25,1,Manager,28228613,19,7,5155182,0,1
39,1,Business,24235183,4,5,6551871,1,1
41,0,Office,11898532,3,5,3518513,1,1
40,0,Manager,38037951,21,5,1154184,1,1
30,0,Student,3914551,15,6,5389007,0,1
32,1,Student,4979730,7,0,3491315,1,0
43,0,Manager,50966541,7,4,889898,1,1
47,0,Office,19421479,7,5,8320485,0,1
29,0,Student,5037913,18,6,4428869,0,1
24,0,Business,39542034,3,1,4810534,0,0
40,1,Student,4236099,24,6,2478281,0,1
48,1,Business,34892862,12,5,7884102,1,1
36,0,Student,6794455,17,7,4753725,1,1
38,0,Office,13764385,2,7,3968653,0,0
35,0,Office,17336973,15,2,9906748,0,1
25,1,Student,4845801,7,0,1536689,1,0
46,1,Business,15185240,8,3,1980192,0,0
34,0,Student,4679411,13,2,8724589,0,0
28,1,Business,20821195,13,5,8133180,0,1
24,1,Business,24883514,23,7,5969578,0,1
35,1,Office,12033807,7,2,6734616,0,0
30,1,Business,28491278,5,0,7084670,1,1
33,0,Student,5455985,1,0,6026313,0,0
24,0,Business,33425298,5,8,6964893,1,1
31,0,Manager,54477476,7,0,2386077,1,1
50,1,Manager,43446144,12,6,8817494,0,1
22,1,Manager,27924932,11,8,6486846,1,1
28,0,Business,34539420,3,5,1447293,1,1
45,0,Business,38787777,14,1,5287571,1,1
33,0,Manager,37320913,11,1,9952314,1,1
46,0,Manager,56566980,9,4,8999725,1,1
48,1,Business,16143905,4,3,6190641,1,1
30,1,Student,6812194,9,6,2807089,0,0
49,1,Business,27293959,3,4,1887736,0,0
24,0,Manager,58656582,25,0,7979373,0,1
30,1,Business,37045183,9,2,4988097,1,1
45,1,Student,5385413,18,1,3319724,0,0
49,1,Manager,28567799,8,1,7814088,1,1
22,1,Business,22439370,11,2,9328530,1,1
49,1,Student,7159699,20,4,3728339,1,1
32,0,Office,12605523,17,2,5733112,1,1
40,1,Office,8340004,20,1,6413031,0,0
26,1,Manager,59257137,8,3,5499638,0,1
32,0,Office,16765700,1,4,3653222,0,1
43,0,Office,13958002,15,6,6718292,0,1
36,1,Office,19963003,17,6,6074436,1,1
43,1,Business,30711545,2,6,7752113,0,1
40,1,Business,22344861,6,5,510083,1,1
27,0,Business,28608533,19,0,5613727,1,1
21,1,Student,7935091,1,0,2424674,0,0
28,1,Manager,32198529,24,6,7488685,1,1
31,1,Office,7658943,6,2,6484702,0,0
33,0,Office,7253996,20,6,7053135,1,1
30,0,Office,8628772,23,5,6250920,1,1
45,0,Manager,58999707,17,7,6125874,1,1
30,0,Manager,56977424,16,4,6411469,1,1
30,0,Office,16944517,8,2,3515236,1,1
32,0,Business,16055513,5,4,2094326,1,1
32,1,Student,5319521,19,5,6386793,1,1
50,1,Manager,39136582,25,5,6774464,1,1
31,1,Business,23625724,1,0,4324088,1,1
50,0,Manager,38535565,8,5,4685281,0,1
36,0,Business,33297617,20,6,1960628,0,1
38,1,Business,28381319,11,3,5966986,0,1
38,0,Manager,25995022,11,0,8457138,0,1
39,1,Student,3878876,11,6,9612187,1,1
38,0,Student,6592773,14,8,7283989,0,1
35,0,Office,12165926,10,3,8734372,1,1
47,0,Business,31613536,22,2,5835289,0,1
50,0,Office,15835594,22,5,8508705,1,1
48,0,Manager,43680012,15,7,6550731,1,1
34,1,Student,4312712,12,7,5237934,1,1
49,1,Student,3146859,20,5,6351073,0,1
38,1,Student,5283973,13,5,9581973,1,1
42,1,Manager,33989378,8,1,4923221,0,0
37,0,Office,19295286,3,4,1108021,0,0
33,1,Office,9520382,3,7,7944188,1,1
37,1,Office,14831578,13,3,7676671,1,1
49,0,Manager,35459838,8,8,7826347,1,1
35,1,Business,30035214,12,1,9308765,0,1
44,1,Manager,34434649,14,8,1926244,1,1
40,0,Student,6432038,14,8,4202981,0,1
29,1,Office,19021108,11,0,586653,1,1
47,0,Manager,46992120,17,1,803543,1,1
38,1,Business,31684386,12,8,2472983,0,1
45,0,Business,24677261,18,4,6708194,0,1
46,0,Business,16281468,4,5,5462299,0,1
20,0,Business,23875306,2,2,4520748,0,0
32,1,Business,31912605,18,6,2522453,1,1
27,1,Office,16743018,13,4,9092726,0,1
21,1,Manager,36642824,13,4,691554,0,1
38,0,Office,18222217,8,6,5374742,0,1
41,0,Manager,26661513,12,0,6818740,1,1
32,0,Office,7772129,7,0,7302205,1,0
28,1,Office,9945718,23,1,2294641,0,0
43,1,Business,32059095,18,0,270185,0,0
43,1,Manager,47043588,6,3,7543948,1,1
50,1,Office,7779733,17,1,5711184,0,0
44,1,Office,16623913,16,7,3874186,1,1
